text,locale,ant-IN,ant-UK
"Very neet and clean place, also come along with family and friends. Provide good service at very affordable price.",1,1,2
"Attended a wedding in the banquet hall. I found it a filthy place with a lot of maintenance issues. Cobwebs were visible in many places, the carpet was very dirty, the toilet floor was very dirty with thick layers of dirty, and wall panels were broken in many places. Provided heating system was very unsafe and had no warning signs.",2,0,2
"Extremely busy, tables were dirty, bit pricey too for a family of 5 for a fast food restaurant... but the food was amazing and plenty of it! We ordered the medium tenders and regular fries( nothing regular about them with the tastiest seasoning). The tenders were so fresh, a lot bigger than we were expecting, and the chicken was cooked perfectly. We will definitely visit again",2,0,2
Pizza was delicious over here. But the famous chicken schnitzel was not that tasty. Addition of a dip with the chicken will be a nice touch to it.,1,0,2
We are torists so were just passing by. Time for some refreshment. We had coffee and cake. The orange cake we had was delicious. We also ordered a ginger muffin to take with us in the camper. The staff were young and friendly. Fast service. With pieces of art on the wall and pleasant surrounds.,0,0,2
"Located inside the Agra fort Anguri Bagh has its own beauty. All the greenery was built as part of the Khas Mahal, which served as a place of rest for the emperor. It approximately 3 kms from the Taj Mahal.",1,1,1
Awful place Toilets absolutely disgusting Served a raw fried egg Waitress had dirt under there nails AVOID,2,1,0
Not a big temple but a big deity and very Divine. This is a Grama Devata temple at Palakollu. Lucky to be here for 60 years anniversary meal by coincidence,1,1,1
"A wide variety of games to play with friends including bowling, table tennis, air hockey & pool. There is also a great range of arcade games. It's a bit expensive but it's a great facility for Cheltenham.",2,2,2
Good Place with Variety of cakes. Try Chocolate Crunch and Gulkand Rose. Pastry are also Tastes good. Reasonable Price. Try Once,1,1,1
"Mostly very good. Lovely room. Nice greeting on arrival at 1 pm but room not available until 3 pm but that fair enough. Requested an extra hour check out the next day from 11-12 because my 8 year old was jet lagged and literally still sleeping but was refused despite the three hour window to clean the room. The place looks lovely and is nicely located with parking. Breakfast was pretty nice apart from the bacon being a bit dry, no orange juice and no side plates. Also I tried to order dinner at and the restaurant closed at at and they were unwilling to make anything so had to use Deliveroo. Pretty good overall though.",2,0,2
"Food is good as you'd expect from Little Wing but the service in the Bangor restaurant is really appalling. It's the third( and last!) time I've been-it took 2 hours for a simple lunch and it was n't even busy. Dreadful service, had to ask the wait staff to come and take our order, waited ages for food to arrive, one meal did n't come out until 10 mins after everyone else, we tidied the table ourselves and they got the bill wrong at the end. Not a good experience.",2,2,0
"One of our favourite pubs. We love the cosy inside seating more, but the outside seating is also great. They have a nice backyard seating too. Friendly staff. We also love the food here. The fish platter and the loaded nachos our favourites. The Scotch eggs, though not with runny yolks, were decent.",2,2,1
"Overall it had a good ambience, staff were nice & neat though it feels like they were over worked at some point. I love that i can see the kitchen. They clean thoroughly after each customer making the desk conducive for the next person. Pancake was super nice. The British breakfast was good. Kids friendly Dog friendly Wheelchair friendly Music was a little too loud",2,2,0
"Very nice cafe at the foreshore. You can enjoy the food either in the cafe or outside by the park. We had breakfast and it was ok, nothing fancy. I personally liked the vanilla chai latte.",0,0,2
