text,locale,ant-IN,ant-UK
One of the best hotel for non-vegetarian food in PALANPUR. Budget hotel. All dishes prepared very delicious and tasty.,en-IN,en-IN,en-IN
First of all I like a good plate of Pav-Bhaji. But not many places offer a taste to my liking. We went here on the recommendation of a friend and it was very good. Butter Pav-Bhaji is especially delicious. Just few less stars for old and claustrophobic place. Although it was clean and tidy.,en-IN,en-IN,en-IN
"I do n't take alcohol, the private function l attended at the Clarence could not supply any of the beverages that nowadays are readily available in pubs, eg good coffee, tea etc.",en-UK,en-UK,en-AU
A perfect place for dine in with family. This is located at the heart of the town opposite of city centre. Visited three to four times here. Inside ambience was good. Bengali recipes are too good. Not all but some chicken recipes could be better. Cleanness and other services are also nice. Parcel and online order are also taken. Overall it's a restaurant.,en-IN,en-IN,en-UK
"Great pricing and a good location, right in the middle of town with decent service. The food is pretty standard pub grub with some' flair'. Not much of a vibe though with occasional). Decent outside area with seating and tables.",en-UK,Can't say,en-AU
Very tasty food and quick service. Good place to go for a family dinner!!,en-IN,Can't say,en-UK
Interior and it has good ambiance but the food is worst and not worthy mostly pizza is not good in here,en-IN,en-IN,en-UK
Excellent food. Have only been through the drive thru so can not comment on dining in. I will say the drive thru is a little tight on room even by Tassie standards. service is immaculate however. Recommend the nachos and quesadillas My partner loves the burrito!!,en-AU,en-AU,en-AU
"This is a small, though very convenient, supermarket that keeps its shelves well stocked. Great selection of fresh vegetables & fruit. Still retains manned tills. We've been doing our weekly shop there for 10 years.",en-UK,en-AU,en-UK
One of the best local street food in Baidyabati champdani area. You can have stuffed kachori along with Aalu and Soybeans sabji or Daal in the morning and Mator ghugni in the evening. Both tests i take parcel every Sunday for my family breakfast which is fixed every Sunday!!,en-IN,en-IN,en-IN
"I really like the brisket and pork in a plate of bbq, so good. I think every meal that included chicken should improve, cause the meat are so tough to chew. This place is suitable for group of people come",en-AU,en-AU,en-UK
"Catering for a 40th was great, staff were friendly, drink service was easy & a great view as well. Bouncer was a knob, demanding to see even though I had their wristband on & had been in the place all night. Other than that, it was tops.",en-AU,en-UK,en-AU
"Visited Watford branch. Food, service and place was good. Quantity of particular dish was not as we expected. Ordered the same dish twice, first time it was good, but second time it was too salty. Now their main expertise-South Indian dishes were amazing-taste, quality, quantity, service in every aspect. We liked the fact that unlike other places they served 3 types of curries and sambhar. Totally enjoyed.",en-UK,en-UK,en-UK
"Coming to this hotel for last 20 years, and it's still very homely, comfortable for stay along with tasty food",en-IN,en-IN,en-UK
"Very neet and clean place, also come along with family and friends. Provide good service at very affordable price.",en-IN,en-IN,en-UK
"Attended a wedding in the banquet hall. I found it a filthy place with a lot of maintenance issues. Cobwebs were visible in many places, the carpet was very dirty, the toilet floor was very dirty with thick layers of dirty, and wall panels were broken in many places. Provided heating system was very unsafe and had no warning signs.",en-UK,en-AU,en-UK
"Extremely busy, tables were dirty, bit pricey too for a family of 5 for a fast food restaurant... but the food was amazing and plenty of it! We ordered the medium tenders and regular fries( nothing regular about them with the tastiest seasoning). The tenders were so fresh, a lot bigger than we were expecting, and the chicken was cooked perfectly. We will definitely visit again",en-UK,en-AU,en-UK
Pizza was delicious over here. But the famous chicken schnitzel was not that tasty. Addition of a dip with the chicken will be a nice touch to it.,en-IN,en-AU,en-UK
We are torists so were just passing by. Time for some refreshment. We had coffee and cake. The orange cake we had was delicious. We also ordered a ginger muffin to take with us in the camper. The staff were young and friendly. Fast service. With pieces of art on the wall and pleasant surrounds.,en-AU,en-AU,en-UK
"Located inside the Agra fort Anguri Bagh has its own beauty. All the greenery was built as part of the Khas Mahal, which served as a place of rest for the emperor. It approximately 3 kms from the Taj Mahal.",en-IN,en-IN,en-IN
Awful place Toilets absolutely disgusting Served a raw fried egg Waitress had dirt under there nails AVOID,en-UK,en-IN,en-AU
Not a big temple but a big deity and very Divine. This is a Grama Devata temple at Palakollu. Lucky to be here for 60 years anniversary meal by coincidence,en-IN,en-IN,en-IN
"A wide variety of games to play with friends including bowling, table tennis, air hockey & pool. There is also a great range of arcade games. It's a bit expensive but it's a great facility for Cheltenham.",en-UK,en-UK,en-UK
Good Place with Variety of cakes. Try Chocolate Crunch and Gulkand Rose. Pastry are also Tastes good. Reasonable Price. Try Once,en-IN,en-IN,en-IN
"Mostly very good. Lovely room. Nice greeting on arrival at 1 pm but room not available until 3 pm but that fair enough. Requested an extra hour check out the next day from 11-12 because my 8 year old was jet lagged and literally still sleeping but was refused despite the three hour window to clean the room. The place looks lovely and is nicely located with parking. Breakfast was pretty nice apart from the bacon being a bit dry, no orange juice and no side plates. Also I tried to order dinner at and the restaurant closed at at and they were unwilling to make anything so had to use Deliveroo. Pretty good overall though.",en-UK,en-AU,en-UK
"Food is good as you'd expect from Little Wing but the service in the Bangor restaurant is really appalling. It's the third( and last!) time I've been-it took 2 hours for a simple lunch and it was n't even busy. Dreadful service, had to ask the wait staff to come and take our order, waited ages for food to arrive, one meal did n't come out until 10 mins after everyone else, we tidied the table ourselves and they got the bill wrong at the end. Not a good experience.",en-UK,en-UK,en-AU
"One of our favourite pubs. We love the cosy inside seating more, but the outside seating is also great. They have a nice backyard seating too. Friendly staff. We also love the food here. The fish platter and the loaded nachos our favourites. The Scotch eggs, though not with runny yolks, were decent.",en-UK,en-UK,en-IN
"Overall it had a good ambience, staff were nice & neat though it feels like they were over worked at some point. I love that i can see the kitchen. They clean thoroughly after each customer making the desk conducive for the next person. Pancake was super nice. The British breakfast was good. Kids friendly Dog friendly Wheelchair friendly Music was a little too loud",en-UK,en-UK,en-AU
"Very nice cafe at the foreshore. You can enjoy the food either in the cafe or outside by the park. We had breakfast and it was ok, nothing fancy. I personally liked the vanilla chai latte.",en-AU,en-AU,en-UK
bus drivers are a menace.,en-UK,en-IN,en-UK
I love farm shows and one of the farmers on a doc sold their fleece for insulation.  As a wool / sheep fan I just said OMG how is that possible.  Thanks for the confirmation,en-UK,en-UK,en-AU
Sensors are trying to shame India! These sensors are part of the Tukde tukde gang!,en-IN,en-IN,en-IN
"Hi , I'm from Brisbane Queensland, I have visited Toowoomba on many occasions and it is not a good place to live in my opinion. I found the people rude and heard someone get racially abused twice in one day and many homophobic slurs also there is not much to do. Port Macquarie would be the best option if you love the beach. Bunbury would be the best option if you prefer a quieter place. :)",en-AU,en-AU,en-AU
"Agrivoltaics is the answer. However, that land and soil is going to be preserved for another 50-100 years and saved from erosion. 

If you don't know what I'm talking about, go and ask farmers in the Fens, how much black soil they have left.",en-UK,Can't say,en-UK
"Thank you so much for your suggestion, it really means a lot, I'm going to talk to my dad about this idea , hope he likes this idea. Thank you!!",en-IN,Can't say,en-AU
"Attacking Labour shows he is still missing the point. He's not yet proven what he _can_ do for Britain. How is he going to fix the problems we have? If his election strategy is to simply attack the opposition, he's already lost,",en-UK,en-UK,en-UK
"A culture of service is a good thing for our country' as he sneaks out the door.

What a shit.",en-UK,Can't say,en-UK
What happened the last time an Australian PM made moves to decouple from the US (including Pine Gap)?,en-AU,en-AU,en-AU
"Needless story to have dragged into the election, party is rumoured to have sat on this for months too.",en-UK,en-UK,en-UK
"I'm trying to go here to work, I'm from EU and a physiotherapist, but I can't seem to find jobs as a bad 5 even with 5 years of experience. I've just been getting rejected. So not only the unskilled workers are facing a hard time getting jobs",en-UK,en-UK,en-UK
"> Then they're backed into a corner with policy I'm sure they know deep down is bad and commit to it..


Very rarely do they care about promises made during an election cycle.


All that really matters is how much money can they funnel to their mates and this is one berry very ripe for the picking for decades!",en-AU,Can't say,en-UK
Job security is a hella of a drug,en-IN,Can't say,en-UK
"Bro you think watermelon is cheap, and you still have no AC ?",en-IN,en-IN,en-AU
"No you're wrong. Ukraine invaded Russia. Didn't you know, poor Russia is innocent and it is the Wrst who are war hungry animals",en-UK,en-IN,en-UK
"""You guys are saving? Im living on the breadline. Welp another 55 hour week incoming. 

Joke of a country.",en-UK,en-AU,en-UK
"This is turning into Bangkok. What's next? Recruit monkeys? Assholes, leave the kids out of this shit.",en-UK,en-IN,en-UK
"lol dutton can't even get nsw liberals onboard with this brainfart of a policy,nationals are threatening to block it,and still 7 months after the policy was promised,no costs,or details..

this entire things a fucking shitshow.",en-AU,en-UK,en-AU
A fixed wealth tax so in twenty years we all pay it. Why not concentrate on wealth creation?,en-UK,Can't say,Can't say
"NATIONALISE!!!

Im shocked this issue hasn't triggered mass protesting",en-UK,en-AU,Can't say
You are mistaking apathy for tolerance.,en-AU,Can't say,Can't say
Lucky chap,en-IN,en-UK,en-UK
I always assume it's just one of those people that has some obscure and horrendously diluted uranium pennystock that they think will pump if they can sell the nuclear debate. They are a dime a dozen these days.,en-AU,Can't say,en-UK
Military use so much drugs that all that stuff you said is meaningless,en-UK,Can't say,en-UK
Do you have a better solution. Would you rather go private if you need surgery paying a few grand.,en-UK,en-UK,en-UK
What a rag,en-UK,Can't say,en-AU
Given their odds they can promise everyone gets a bugatti and a blowjob. They can't deliver it nor will they be in a position to. They can just say they promised it and point the finger when reality sets in.,en-UK,Can't say,en-UK
">This is never going to be ""front and centre of the July GE. Starmer knows it's divisive and he'd alienate many of the votes he's keen to capture

And yet, he was one of the main people who pushed for a ""peoples vote"" to be included in the Labour 2019 manifesto.",en-UK,en-UK,en-UK
You slaaaaaaaag!,en-UK,Can't say,en-UK
tell him to write an essay on traffic rules as well,en-IN,en-IN,en-UK
"An accurate, well-structured and dignified statement - that really shouldn't even need to be made.",en-AU,Can't say,en-UK
When you let the infection spread for 5 years.,en-IN,Can't say,Can't say
"Good work, cross post to r/Delhi",en-IN,en-IN,en-IN
This is my go to for anytime this comes up.,en-IN,en-IN,Can't say
Nice one.,en-IN,Can't say,Can't say
Oh God I hate this woman so much,en-IN,Can't say,en-UK
"Even calling it a circus has given it some respect. In India, these conferences are just a place for having tea and pakoras and boosting the ego in front of some illiterate politician. It's an example of the blind leading the blind there.

Many of these conferences have essentially turned into hubs for extramarital affairs.",en-IN,en-IN,en-IN
Dukh. Dard. Sharam,en-IN,en-IN,en-IN
"People in the comments are normalising this behaviour, because I guess a lot of people are capable of doing this.",en-IN,Can't say,en-UK
"Such a shame, Radiohead helped me through some rough times. I'm more than happy to boycott these Zionist genocide-cheering pigs though, any relief these guys gave me is outweighed by their emergent inhumanity and lust for Zionist funds.",en-UK,Can't say,en-UK
"People in the UK are afraid to criticise the NHS, it's garbage and that is because it has been underfunded and also because it is badly run. 

It really worries me as I get older having to rely on the NHS. The staff are not all angels, like any organisation you have many who cannot do their jobs and are lazy.",en-UK,en-UK,en-UK
"Interesting that it says Labor could lose Robertson; it'd be the first time since 1980 that it backed a candidate from the Opposition party.

Minority government is probably the most likely outcome for the next election. Labor probably aren't in much danger of losing the election outright, but you'd have to think they'll need to concede a few things to stay in power.",en-UK,en-UK,en-UK
"Well the government keeps cutting funding for mental health, outreach programs and people keep opposing anything drug support related in their neighborhoods or in the CBD. 

Not a surprise we have problems with homeless, mentally ill or drug addicted people in our streets. No one wants to wear the costs to solve the problems.",en-AU,en-AU,en-AU
"Ubala hua anda maang rahi hai. Ek kaam karo isko ubla hua paani dedo, puche toh bolna anda andar pighal gaya.",en-IN,en-IN,en-IN
"Insert ""Bhaiya galti se mere muh se nikal gaya meme.",en-IN,en-IN,en-IN
Probably because it didn't fit in a lot of ATMs,en-IN,en-IN,en-UK
"I wouldn't bother to pick it up or let them know hahaha even if so, I would let them know but never pick myself coz I m germaphobic myself lol",en-UK,Can't say,en-UK
"They are free to resign from their govt job. These govt babus always complain, they want everything served to them on a platter. Even once in a year they dont want to work hard",en-IN,en-IN,en-IN
Is /r/Melbourne just a Google alternative these days?,en-AU,en-AU,en-AU
"Mate DSP is already way higher than jobseeker as it is.


And in turn, jobseeker is higher than student payments and youth allowance.


Either increase jobseeker and youth allowance and students... or just increase everything.",en-AU,Can't say,en-UK
Why would she get beaten up? Does anyone know the reason?,en-IN,Can't say,Can't say
wish they hadnt told me I had cancer ...,en-UK,Can't say,Can't say
"It is a bit mad that we're the words biggest exporter of legal medical cannabis, but everyone's still so uptight about it. I guess it's a money thing, relax the laws and introduce competition, and people like Theresa May who have a stake in it lose out on some profit",en-UK,en-UK,en-UK
"In the US Alexandria Ocasia Cortez got a few million in grass roots donations.

Right wing (and some left) were loosing their shit saying things like ""She's now answerable to a small minority of activists"". The (purposeful) irony.",en-UK,Can't say,en-UK
"If only we had politicians that acted on the public's concerns. 

Instead ours line their own pockets and offer no forward thinking.",en-AU,Can't say,Can't say
"Who the f is this reporter who is saying don't compare heroines with light boys.
Why is she throwing a shade on light boys.",en-IN,en-IN,en-AU
"Yes. I'm not sure about the satellite hubs but it seems everyone in Australia - bar the major parties - is keen on fossil fuel and other mineral \[but particularly gas and coal\] tax imposts. According to QandA's speakers, and audience, last night; we get close to diddly from our exports.",en-AU,en-AU,en-AU
"Talk lately of conscription, having a store of food and water, and now drug shortages. I wonder if the writing on the wall to those in charge is that shits really going south and soon.",en-UK,en-UK,en-UK
"I agree with Nitish Kumar. 

Gujarat needs its CM back. The current model isnt working.",en-IN,en-IN,en-IN
"There are Muslims who pride themselves as Indians first. But they are as liberal as they come. Gives importance to secular education as well as religious education, don't blindly follow wahabism or Arab culture, they take part in other religious festivals where whole community is involved. 

Depending on which kind of Muslim you ask above listed could be blasphemy or against their religion. Such people exist in all religions. 

 But yaa their overall impact on world recently isn't that good and they don't want to admit it.",en-IN,en-IN,en-UK
Get someone who looks at you like:-,en-IN,Can't say,Can't say
"Indians completely abuse the system, it's the absolute truth and no body can deny it. I was part of it at one point of my life, used to scam the hell out of Uber Eats when it was there. I feel disgusting that I even did that. Now imagine, how many more people are doing it on the regular.

There should be some scope to get an item returned I believe, it is necessary for all the genuine cases. But I can't really blame the companies here.",en-IN,en-IN,en-UK
"Har do mahine mein yeh news ata hai
Ab shaam ko dikhenge ek saath bastian se nikalte huye ya jate huye",en-IN,en-IN,en-IN
So let's get rid of elite schools for elite minds which are likely to raise bar of average nationwide and dumb the population down to where they can more easily be controlled by dogma. If it were not so stupidly myopic it would be comical.,en-UK,Can't say,en-AU
It must have been like hell for the poor woman.,en-IN,Can't say,Can't say
Adrian Quist or Snakes Hissed for when one had excessively imbibed in alcoholic beverages.,en-AU,Can't say,en-UK
Ik! I was mess. Abhi bhi hu but sayad thoda kam,en-IN,en-IN,en-IN
Kiara was good in Shershah it felt so real,en-IN,en-IN,en-IN
Definitely my favourite,en-IN,Can't say,Can't say
"War brings in lots of money and the beneficiaries are not going to give it away, are they. Once the war ends they get money for redevelopment of the country they sold the arms to fight the war. 
Only losers are the tax payers. We don't have money to support the poor and needy, we don't have money to support the NHS and we don't have money to fight the crime in our own fking land but have plenty to help everyone else out there. 

My rant over",en-UK,en-UK,en-UK
"It your own thermometer at the store. Hang it on the wall in the shade. If you want to know the wet bulb temp, stick a wet piece of cotton around the bulb. Wet bulb over 35 C can kill you. 31 can kill you if you are working.",en-UK,en-UK,Can't say
"Can attest to Suitor being a great place to hire from. When I last used them they sent me a brand new suit for hire, still had its tags on.",en-AU,Can't say,en-UK
Department of Honesty aka DoH!,en-AU,en-AU,en-AU
Are we just supposed to be wearing some sort of Genocide Blinkers at this point? Our governments are taking the piss.,en-UK,Can't say,en-UK
Because most of them got nothing else to do in their sad pathetic lives,en-IN,Can't say,Can't say
"The real income is power and facilities provided by the govt..!  
My uncle become a magistrate judge last year..!  He gets 1.5L starting salary. !  Interest free loan for buying a car..!  60 litres of fuel every month.. 6000 units of electricity every year..!     He has got enormous marriage proposals worth 5-10 crores..!  But my poor uncle was rejected by his Brahmin girlfriend's family..!",en-IN,en-IN,en-AU
"Has there ever been a liberal policy the experts supported? Business and mining council yes,anyone looking at Australians best interests? No",en-AU,en-AU,en-AU
"Stopping middle of the road on Seacliff bridge to take photos.

It has fucking parking bays for this. Get out and walk a tad to get the perfect photo. 

Bitching at me about the prices of things, who told you Australia was cheap? Your in a bar.. you want the beer you pay for it like the rest of us. Or that the tap beers aren't ones you like... 99.9% of our customers like them that's why they are on tap. 

Ordering coffee like it's Starbucks at a normal cafe and getting mad at the staff because you got what we thought you meant because you refused to clarify. 

Fucking wait for people to get off the bus/train and stop trying to force your way on. They'll wait for you. Literally they will wait until everyone is on. 

Bitching at me that your bank card that is not one that does international shit like a MasterCard won't work here. We don't have your bank here... Why did you not get a MasterCard?",en-AU,Can't say,en-AU
Albo finally saying the loud part out aloud lol,en-AU,en-AU,en-AU
"Indian eyes are turned to the past. It's a culture based on tradition. Western eyes are turned to the future. 

All things in the past are not good nor should their lessons be forgotten.

The future is hazy and unknown and full of risks. 

Both should be considered in a conscious manner. Most people are creatures of habit not consciousness.",en-IN,en-IN,Can't say
Banger username.,en-UK,Can't say,en-AU
"How's your hay fever? I stopped taking my antihistamines a couple of days ago and my allergies came back. I'm usually fine between May and September, so I dunno what's changed this year. Anyone else feeling it?",en-AU,Can't say,en-UK
"I blagged a flight in an RAF Sea King once and I can still vividly remember the smell now, hot exhaust fumes just constantly blasting through the fuselage, absolutely horrible. 

I did think at the time that it cannot be good for you!",en-UK,en-UK,en-UK
"I've always been partial to 'Fuck a duck', it has so many uses.",en-AU,Can't say,en-UK
In reality him and his mates have finished pillaging the public purse.,en-UK,Can't say,en-UK
"Calling themselves Labour nowadays is a joke, Diet Tories more like",en-UK,en-UK,en-UK
Alot of the guys who were known bullies at my school now doing time. Don't know anyone who would meet that criteria who has done remotely well.,en-UK,en-AU,en-UK
What would it mean to reject something not based on cold hard facts? What would cold hard facts look like and how would one determine that?,en-AU,Can't say,en-AU
"Yeah it was  although some days it probably annoyed him I chatted a lot, I was very good at my job. Plus he didn't mind a bit of a cheat himself, unless he was hungover",en-AU,Can't say,en-AU
"I don't disagree with the quantity.

I disagree with the brand.",en-IN,Can't say,Can't say
Brexshit,en-UK,en-UK,en-UK
"Sad. But at least it's the owner that paid the ultimate price and not some innocent bystander.

Sad also for the animal, that will be put down.

Why people feel they need to own killing machines, I will never know.",en-IN,Can't say,en-UK
They know they won't win. They're ransacking the place so that labour will inherit a shitstorm and promptly do fuck all about it but whine.,en-UK,Can't say,en-UK
"Bullshit article. If you like it, watch it. If you don't like it, don't watch it. Your sex or sexuality doesn't mean you can't enjoy/watch shows that weren't made for your specific sex or sexuality (which is every TV programme).",en-UK,Can't say,en-UK
Jayanagar layout was Asia's largest planned layout. It's so great to stay in this layout. No water Shortage. Only if we copied this layout all over bangalore,en-IN,en-IN,en-IN
Where is the completely hapless Pesutto and Victorian Liberal opposition. Labor are in the media everywhere for all of the wrong reasons and he is doing nothing.,en-AU,en-AU,en-UK
"Ranbir was the IT boy during that time... Top most Actors and Directors were dying to work with him!! Rockstar,YJHD,Barfi in a span of a year is INSANE...",en-IN,en-IN,en-IN
"""Imagine a white European saying that about another ethnicity or religion""

 ...

 ""Imported people""

Double standards much?  

Also, ""Imported"" implies that someone has paid to have them shipped here. They may have migrated, they may even have been traficked but they definately have not been imported.",en-UK,en-IN,en-AU
"I think they were teenagers...she is a hindu and he, a muslim. they ran away and got married in court quietly, Aamir's idea. If he is a narc who cares only about himself, then he's the a-hole with a roaming eye. He did the same to Kiran but that was worse cause Fatty was literally living in their home.",en-IN,en-IN,en-IN
Victoria seriously needs a competent opposition. The flagrant fiscal mismanagement of state labor is ridiculous eg accepting comm games. Yet the majority of the public give them a pass,en-AU,en-UK,en-AU
"Hmm. Nautica has been the lads' clothing of choice for over thirty years and is the only brand you've mentioned that evokes themes of lads. Tommy and Ralph Lauren are too big to be influenced by teenagers trying to be hard, and if history has proved anything, the Nautica brand hasn't suffered, either.",en-AU,Can't say,en-AU
"Filing a baseless FIR against a lawyer? Lmao, he would shred the responsible police officers' explanation to pieces in court.",en-IN,en-IN,en-AU
"The massive corpo I work for have rolled out WTC before each meeting because Lloyd's of London in the UK said they wouldn't provide us with reinsurance unless we improved our ESG score. 

As an insurance company which neither owns any infrastructure or manufactures anything physical, the E (environmental) bit is difficult to do anything about or improve. As for the G (governance), the executive team aren't willing to invest the time and expense of restructuring and we are already very highly regulated. Therefore that only leave S (social). 

It's been inexpensive to throw up a few rainbow flags around the office and implement WTC. It's shallow and meaningless imo but keeps our reinsurance premiums down. 

As someone who fully supports indigenous rights, opportunities and recognition, I'd be far more proud if my company paid for scholarships to young indigenous people looking to enter the corporate environment but that's expensive.",en-AU,en-AU,en-UK
"This generation of boys is a lost cause. It's time we start urging our girls to completely distance themselves from them. 

Just to top it off, watch them get away with a tepid punishment for this.",en-UK,Can't say,en-UK
"Friend of mine had it published she was shagging another bloke when her ex rolled up and beat him to death and her half to death. 

She certainly wasn't shagging him but because the killer said that was his motivation once they ran eith it ever since. Fuck the media",en-UK,en-UK,en-UK
Waiting for him to put his finger on some African country,en-IN,Can't say,Can't say
Eshays have always worn nautica and polo. There are certain styles within those brands that appeal to certain types of fuckwits.,en-AU,en-AU,en-AU
Not so Pyara Advani,en-IN,en-IN,en-IN
"I prefer Kid Starver, no point even implying he's remotely left wing.",en-UK,Can't say,en-UK
"I still remember when the US was claiming it didn't want to extradite him from Sweden and people were saying he was a coward for not offering himself to the Swedish authorities.


A decade later, after hiding out most of that time, the US are trying to extradite him. I guess he had valid reasons for not coming forward.",en-AU,Can't say,en-UK
Certificate in concreting,en-AU,Can't say,Can't say
"The English should be proud of their rich heritage and the many, many gifts to civilization that came from their island. Had you not so fully committed to liberalism, I would have nothing but respect for your country. Nonetheless, be proud. 

A German",en-UK,en-UK,en-UK
"Bohot Khoobsurat.
Jai Bajrang Bali.",en-IN,en-IN,en-IN
They are still going strong.. I thought they would fizzle out after Archie's release,en-IN,en-IN,Can't say
"Broken Hill as others have said is fascinating. Really like it. Camped at the race course, and then Lake Mungo. 

Something different - Take the Castlereagh Highway to Lightning Ridge/Grawin for Opal, visit the Brewarrina Fish Traps. Time your trip for the October Long weekend, and go to the Let's Dance Carinda David Bowie festival. I've been three times from Canberra.
Coonabarabran has a really good optical telescope, with fun educational Solar System markers en route, where the ""Sun"" is the telescope. The Narrabri Radio Telescope is not as iconic as Parkes, but it is it enormous, with six full sized dishes on railway tracks. Also look for some Artesian baths on whatever route you take up that way.",en-AU,en-AU,en-AU
Once bins are on the curb it's legal to put stuff in them. So just wait for bin night to do it.,en-AU,en-AU,en-UK
Is it able to be linked to the ServiceVIC App?,en-AU,en-AU,en-AU
Best JR meme ever.,en-UK,Can't say,en-AU
*Did they try not being poor though?*,en-UK,Can't say,en-UK
"Thank you very much for your detailed and quality explanation, I'll definitely look into Falls Creek. My visitors they don't often get to experience skiing where they are, so travelling a bit further but for a better experience is definitely a good trade off.",en-AU,Can't say,en-AU
"Not sure about that, the place has always been very sketchy. My dad had stories from over 50 years ago about that place.",en-AU,Can't say,en-AU
"There are a few more than handy suggestions here already. Since you're already in the grind with academics, my suggestion to you would be to learn a couple of foreign languages and look at freelance gigs to start with. Eventually gain enough credentials to teach one of them.",en-AU,Can't say,en-UK
"u/Caveboy_ ko iss diggaz pratibha kliye  rupiye (5 INR only) ka nagad eenam Diya jata hai. 


stage pe aakar apne eenam ki rashi le jaye.",en-IN,en-IN,en-IN
A good economic policy from Reform UK. Has Hell frozen over?,en-UK,en-UK,en-UK
"So no more Covid jabs, hmmmm....
They found a way for you to take it again 
Sheeple will follow....",en-AU,en-UK,en-UK
We used to get so much shit just for washing our PPE. Shiny new stuff is bound to make you a pariah in some workplaces.,en-AU,Can't say,en-UK
Good. There's [many]( studies showing Corporate tax [falling heavily on consumers and employees](,en-AU,en-IN,en-UK
"How sad for both involved. The push was retaliation rather than defence; but generally just a bad decision made in the moment.

A smackhead once flicked a lit ciggy end in my face, he was walking the opposite way so I turned ran up behind him and only after I closed the distance did I stop my self from punching him in the back of the head, likely breaking my hand and potentially killing him.

I've been in more than a few scraps, but I've rarely ever in my life been just that upset over something. I was pissed off because of having a ciggy flicked at me but that didn't compare to the days maybe even weeks after thinking about how bad that could have been. To do something so stupid. Not only was it terrifying and horrible to think I could have killed him but embarrassing to think that I'd ruin my life and hurt everyone around me over something like that.

That's a moment where I can say I truly grew up and if it had happened years before, as angry and aggressive as I could be towards people who I felt deserved it, I might have made the wrong choice.

Which is why I feel sorry for that young girl. If she has empathy then she doesn't need prison as she'll carry this for the rest of her life.",en-AU,Can't say,en-AU
Jail time just isn't given to most ppl unless it's one of the not allowed on Reddit opinions,en-UK,Can't say,en-UK
"I was so mad when I saw that a couple of weeks ago. We came in specifically to see the shot tower, and instead we got that.",en-AU,Can't say,en-UK
"Consider which skills you have that may be transferrable. 

I would say that the ability to work under pressure, and the ability to clearly and succinctly communicate are two skills that are transferrable into almost any other career.

You already have in-depth insight into hospitality and customer service as well. Perhaps you can aim for positions in food, venues, and events promotion?",en-AU,Can't say,en-UK
"why is the title 'women voters', that really doesnt flow well  
  
why not just female voters?  
  
you wouldnt say 'men voters', you'd say male voters",en-AU,Can't say,Can't say
"IMO only the strong will survive. Monique Ryan is a teal who has done things I'm aware of (speak out against HECS indexation), the rest, I don't know what they are doing. These seats won't consign themselves to having minimal political influence in the long-term, they will likely return the seats to the Liberals in the next couple of elections.",en-AU,Can't say,en-AU
Consumer court bro. Simple.,en-IN,en-IN,en-AU
Bro uploaded his own pics and pretending it to be some monke. ![img](emote|t5_3d4x4|20028),en-IN,Can't say,Can't say
Change India to Adania not Bharat.,en-IN,en-IN,en-IN
"UK needs to sue Morocco and the areas of North Africa for the Barbary Corsair slave raiding all along the Western Coast of the British Isles and other countries on the Western seaboard of Europe.

'According to Robert Davis, author of Christian Slaves, Muslim Masters,between 1 million and 1.2 millionEuropeans were captured by Barbary pirates and sold as slaves in North Africa and The Ottoman Empire between the 16th and 19th centuries.'

That doesn't include the Ottomans of course who enslaved millions of Europeans too. 

Of course it's ludicrous to look at it this way. The whole history of human slavery needs to be taught. Conclusion: common in most societies throughout history.",en-UK,en-UK,en-UK
"Americans... How do you live without kettles? How has ""much faster hot water"" not become a necessity?

You have spray can cheese. This was a higher priority for y'all?",en-AU,Can't say,en-UK
How is telling people to be honest being shaddy?,en-AU,Can't say,en-AU
I actually overheat if I have both my legs and torso fully covered above 15 degrees.,en-AU,Can't say,en-AU
"How much marginal MW capacity would these even provide? It's not ""national security"" when the action doesn't make any meaningful changes.",en-UK,Can't say,en-AU
"I like it. It's pretty chaotic and a lot happens in the short run time but the humour appeals to me. I'm glad it's doing well. 

Also hearing the cute optimistic Aussie accent is a nice change as Americans usually play us as some tough no BS character with a deeper voice.",en-AU,en-AU,en-AU
"It isn't always about a sense of pride.

It is more about the market and what make sense economically.

For example you can see construction cranes and material conveyor belt like things being used by bigger companies because that gives them cost optimisation and they're able to compete with other modernized players

Whereas if you go to smaller towns or to people who do smaller scale work, they still use old methods.

Why?
1) The new methods needs a lot of skills, time and patience to reach a level of competency required for giving the customer the same set of deliverables as they do now.


2) Financial incentive: It is often a large captial expense required to make the switch for smaller setups who may not have credit access. And since the demand for that kind of work doesn't reward extra for  it being done by any modern method , there's no incentive.


3) Risk taking ability. Every new migration comes with challenges. So for example if you want a small store owner to begin to track his inventory and make sales  using a cloud solution they won't be ready to face an outage or the prospect of paying more for security or similar upgrades because it doesn't add that much value compared to the cost 

Lot of other things as well",en-IN,en-UK,en-UK
"You have high expectations for what can be achieved in a 20 min speech. Budget reply isn't a shadow budget, they don't have any treasury resources.",en-AU,Can't say,en-UK
"I thought someone from Brisbane was a Brisbonean.

Canberran

Novacastrian

Taswegian

But little known fact: people from Orange are call Fruits.",en-AU,en-AU,en-AU
kings are just glorified landlords,en-IN,en-UK,en-UK
Damn! How could I do such a blunder in typing.,en-IN,Can't say,en-UK
"I always thought the expensive tickets and painfully expensive food and soft drinks were killing the whole movie going experience. Hopefully, if this works out for a few movies maybe the food and ticket prices will come down for good.",en-IN,Can't say,en-UK
I would rather support a system that provides a wage over tipping culture.,en-AU,Can't say,en-UK
